Date,6758-T,6861-T,7203-T,8035-T,8306-T,9432-T,9984-T
2023-05-29,0.0,0.08123348723465112,0.0,0.0940655380435942,0.080721797677941,0.0,0.0
2023-05-30,0.0,0.08177130806909552,0.0,0.09391520655106461,0.08114634137865384,0.0,0.0
2023-05-31,0.0,0.08043248635401612,0.0,0.09236885004367551,0.08132029335903981,0.0,0.0
2023-06-01,0.0,0.08073630278132812,0.0,0.09386169410707441,0.08359927082026626,0.0,0.0
2023-06-02,0.0,0.17019557329460241,0.0,0.0,0.17019557329460241,0.17019557329460241,0.0
2023-06-05,0.0,0.17357600646756102,0.0,0.0,0.1701143192800698,0.1700896031395853,0.0
2023-06-06,0.0,0.17149843732468648,0.0,0.0,0.1691554548983537,0.17292378533471392,0.0
2023-06-07,0.0,0.16879617567213576,0.0,0.0,0.16825498153983262,0.1731532775885334,0.0
2023-06-08,0.0,0.16417545077826465,0.0,0.0,0.16990825458577916,0.17239043182364472,0.0
2023-06-09,0.0,0.1663025127080902,0.0,0.0,0.16999481845124356,0.17415962776818628,0.0
2023-06-12,0.0,0.1698446275810805,0.0,0.0,0.16843838729145305,0.1731732936656051,0.0
2023-06-13,0.0,0.17070136360593047,0.0,0.0,0.16863976935741437,0.17264827735452493,0.0
2023-06-14,0.0,0.17039611679632813,0.0,0.0,0.17226726953731794,0.17144023757312973,0.0
2023-06-15,0.0,0.17117421043526462,0.0,0.0,0.17249669082552263,0.1706211962747819,0.0
2023-06-16,0.0,0.17132226685265403,0.0,0.0,0.17188237754664698,0.17080430756172338,0.0
2023-06-19,0.0,0.1693178655532409,0.0,0.0,0.17294282723869558,0.17126667137010335,0.0
2023-06-20,0.0,0.1692077116972119,0.0,0.0,0.172115397302046,0.1706408366017072,0.0
2023-06-21,0.0,0.16855538930286637,0.0,0.0,0.17356013282834934,0.17207768996263315,0.0
2023-06-22,0.0,0.1652233662022752,0.0,0.0,0.1792380041213259,0.17214008364452488,0.0
2023-06-23,0.0,0.1640227780448808,0.0,0.0,0.1773885061527157,0.1724164085975092,0.0
2023-06-26,0.0,0.1640794429599316,0.0,0.0,0.1758247301979946,0.17318223717717804,0.0
2023-06-27,0.0,0.16155058374597067,0.0,0.0,0.17753336226084537,0.1750632959141238,0.0
2023-06-28,0.0,0.1634070586341867,0.0,0.0,0.17732762458613233,0.18125024480512464,0.0
2023-06-29,0.0,0.16270104000085925,0.0,0.0,0.18296149659981728,0.17616496872089482,0.0
2023-06-30,0.0,0.16152498387297992,0.0,0.0,0.18317469889514915,0.17589644392659218,0.0
2023-07-03,0.0,0.16434800927315002,0.0,0.0,0.18513401410577032,0.1751366617593407,0.0
2023-07-04,0.13949168329362807,0.13949168329362807,0.0,0.0,0.13949168329362807,0.0,0.0
2023-07-05,0.14081864911599926,0.13947960713765145,0.0,0.0,0.13771711448715418,0.0,0.0
2023-07-06,0.1400724004904605,0.13764811485201656,0.0,0.0,0.1361123861584592,0.0,0.0
2023-07-07,0.13940958293569045,0.1362817931406476,0.0,0.0,0.13463498221926085,0.0,0.0
2023-07-10,0.13794893216350956,0.13549151067417647,0.0,0.0,0.13510536553676955,0.0,0.0
2023-07-11,0.1365012963671721,0.13653934233380033,0.0,0.0,0.13455499526332587,0.0,0.0
2023-07-12,0.13422557912158897,0.13577523150625842,0.0,0.0,0.13694368208380212,0.0,0.0
2023-07-13,0.13919482175185055,0.13731851522955926,0.0,0.0,0.13494772227109667,0.0,0.0
2023-07-14,0.13794525653724574,0.1377726681889129,0.0,0.0,0.13468186271444446,0.0,0.0
2023-07-18,0.1403019017408215,0.13830286199568897,0.0,0.0,0.13671410743920237,0.0,0.0
2023-07-19,0.14062763402542838,0.13905058110714102,0.0,0.0,0.13671493369718507,0.0,0.0
2023-07-20,0.1396564644736168,0.1369243395490268,0.0,0.0,0.13586388690735784,0.0,0.0
2023-07-21,0.14002801108242013,0.13639664122603087,0.0,0.0,0.13625369163753695,0.0,0.0
2023-07-24,0.1416781121288945,0.13722557491406856,0.0,0.0,0.13357315934673925,0.0,0.0
2023-07-25,0.1404747762581077,0.13629231180824036,0.0,0.0,0.13582890128023145,0.0,0.0
2023-07-26,0.14055365376958498,0.1363993447316289,0.0,0.0,0.13553643829737425,0.0,0.0
2023-07-27,0.1407439657724645,0.13664193689390114,0.0,0.0,0.1365348684954698,0.0,0.0
2023-07-28,0.13815245013974153,0.13611954179842198,0.0,0.0,0.14294026958468026,0.0,0.0
2023-07-31,0.141316017816382,0.13040899173130965,0.0,0.0,0.14445415010665272,0.0,0.0
2023-08-01,0.14370942165086217,0.12639234868987567,0.0,0.0,0.1434566098320913,0.0,0.0
2023-08-02,0.05808127711132231,0.05808127711132232,0.0,0.0,0.0,0.0,0.058081277111322306
2023-08-03,0.05687902133785772,0.05795430593151582,0.0,0.0,0.0,0.0,0.057748148784062016
2023-08-04,0.05682665532108225,0.05772064215006922,0.0,0.0,0.0,0.0,0.05815627758192617
2023-08-07,0.056844946585708996,0.0572487221323182,0.0,0.0,0.0,0.0,0.05770283160673094
2023-08-08,0.05707237711168916,0.056714637186279435,0.0,0.0,0.0,0.0,0.05854115570628233
2023-08-09,0.05724246894758397,0.05642606384500766,0.0,0.0,0.0,0.0,0.05683225620651976
2023-08-10,0.05545702746480999,0.056945301746298436,0.0,0.0,0.0,0.0,0.05710916375062626
2023-08-14,0.05396892947052262,0.05622789681836773,0.0,0.0,0.0,0.0,0.05571033154020603
2023-08-15,0.054120708217490494,0.05649017384967886,0.0,0.0,0.0,0.0,0.056030619842087986
2023-08-16,0.05335201042237695,0.056320395296873306,0.0,0.0,0.0,0.0,0.05444090643852655
2023-08-17,0.05384997820121962,0.05629315778330567,0.0,0.0,0.0,0.0,0.054514825256978525
2023-08-18,0.05333817355359788,0.05670851102328267,0.0,0.0,0.0,0.0,0.0546313113207035
2023-08-21,0.05327531347672617,0.05607792022311193,0.0,0.0,0.0,0.0,0.05526622464846379
